성과사업명,가중논문수,가중특허수,Y_총가중성과
SW컴퓨팅산업원천기술개발(R&D),364.23571428571427,2072.2666666666664,2436.502380952381
산업소재핵심기술개발(R&D),512.3964285714285,1896.433327,2408.8297555714284
산업소재핵심기술개발,374.92777777777775,1943.43,2318.3577777777778
기초과학연구원연구운영비지원,1894.1255324675324,388.85,2282.9755324675325
원자력기술개발사업,1036.9083333333333,1174.8666666666666,2211.7749999999996
첨단융합기술개발,965.9858946608946,1241.6571428571428,2207.6430375180375
지역특화산업육성(R&D),55.2,2141.776190142857,2196.976190142857
광역협력권산업육성(R&D),76.53333333333333,2107.2499996666666,2183.783333
한국생산기술연구원연구운영비지원(R&D)(주요사업비),490.8206349206349,1691.366651,2182.187285920635
산업기술국제협력,347.96190476190475,1825.684126984127,2173.646031746032
차세대바이오그린21(R&D),902.520238095238,1268.2666636666665,2170.7869017619046
첨단의료기술개발,949.332873015873,1185.593253968254,2134.926126984127
질환극복기술개발(R&D),1244.1416666666667,868.3652010158729,2112.5068676825395
STEAM연구,779.2561904761905,1307.5039682539682,2086.7601587301588
한국과학기술연구원연구운영비지원(주요사업비),735.5420995670995,1344.1,2079.6420995670996
지역혁신클러스터육성(R&D),127.98333333333332,1921.1944377777777,2049.177771111111
한국에너지기술연구원연구운영비지원,465.0833333333333,1567.5833333333333,2032.6666666666665
전자정보디바이스산업원천기술개발(R&D),611.0083333333333,1391.6966666666667,2002.705
지역혁신창의인력양성사업,615.9277777777778,1374.4666666666667,1990.3944444444446
한국전자통신연구원연구운영비지원,191.89285714285714,1787.4333333333334,1979.3261904761905
국토교통기술촉진연구(R&D),525.0666666666666,1442.6099973333332,1967.6766639999998
신재생에너지핵심기술개발(전력),366.88634920634917,1597.8871428571429,1964.773492063492
국가과학기술연구회연구운영비지원(R&D)(주요사업비),541.1888888888889,1411.8734521904762,1953.062341079365
산업집적지경쟁력강화(R&D),17.166666666666664,1921.6666663333333,1938.833333
중소기업기술혁신개발(R&D),5.333333333333333,1913.3166666666666,1918.6499999999999
한국생산기술연구원연구운영비지원(주요사업비),464.775,1437.0,1901.775
우수기술연구센터(ATC)(R&D),116.01666666666667,1776.0499923333334,1892.066659
농생명산업기술개발,678.6568571428571,1134.1166666666666,1812.7735238095238
나노·소재기술개발,1025.6438095238095,718.4855555555555,1744.129365079365
바이오.의료기술개발,788.776746031746,955.2866666666666,1744.0634126984128
광역경제권선도산업육성,54.45,1660.283333,1714.7333330000001
전자부품산업기술개발(R&D),394.8588095238095,1293.4670925670996,1688.325902090909
한국지질자원연구원연구운영비지원,466.5333333333333,1211.5,1678.0333333333333
한국화학연구원연구운영비지원,384.8777777777778,1292.2571428571428,1677.1349206349205
연구중심병원육성,775.6872222222222,891.6199206349206,1667.307142857143
뇌과학원천기술개발(R&D),936.376984126984,719.7207241587301,1656.0977082857141
문화기술연구개발,109.13333333333333,1529.7333333333333,1638.8666666666668
WorldClass300프로젝트지원,29.75,1567.1666666666667,1596.9166666666667
범부처GigaKOREA사업(R&D),103.3,1470.7666663333334,1574.0666663333334
국가과학기술연구회연구운영비지원,407.43571428571425,1162.0833333333333,1569.5190476190476
글로벌탑환경기술개발사업,299.55,1241.7833333333333,1541.3333333333333
국토교통기술촉진연구,335.23333333333335,1204.1333333333332,1539.3666666666666
범부처GigaKOREA사업,161.51666666666665,1367.15,1528.6666666666667
암연구소및국가암관리사업본부연구운영비지원,1146.0939523809523,372.1738095238095,1518.2677619047618
정보통신방송표준개발지원,27.666666666666664,1489.35,1517.0166666666667
